Sentence,Emotion
chú này hay ở ngã tư hậu giang với phạm đình hỏ q6 thì phải,Other
em mong chỗ tiền anh kiếm được không bị vợ giữ nốt 🤣,Other
per mốt đừg có thiết kế hay xây mấy cái kiểu như dị nhé hem ><,Other
ờ thì giống nhau hay chỉ là trùng hợp,Other
đánh cả bố lẫn mẹ nó cho nó chừa,Other
làm như là người tối cổ mà không biết . này là bếp từ phiên bản đầu tiên chứ gì,Other
giữa dòng đời này chắc mỗi mình mình xin list nhạc :3,Other
per lý do nhà tao dùng năng lượng mặt trời .. 😌,Other
đó căn bản chỉ là phép lịch sự tối thiếu thôi,Other
thẳng thắn cho đỡ mất thời gian của nhau,Other
"chào em cô gái tháng 10 , em là nắng ấm giữa trời mùa thu ...",Other
per còn nhớ cây nay không,Other
vì nếu không có kẻ yếu thì chúng ta không biết mình rất mạnh,Other
bếp dầu hỏa chứ cái gì,Other
hẹn gặp lại ngày vào một ngày không xa chúc ngài thượng lộ bình an,Other
k cần chuyển cũng sắp đi rồi admin ạ,Other
lại sắp đánh án lớn,Other
chưa ai chịu được,Other
đây là bếp cồn có từ trước khi giải phóng nha mấy chế,Other
chuột nhìn thấy said : bố lại sợ mày quá cơ =))),Other
làm cái đéo gì mà lại lâm vào tình huống như thế này,Other
"kinh hồn , sao chủ nó có thể để nó như v được nhỉ",Other
bố mẹ là những người yêu ta vô điều kiện ...,Other
per cho chị vui vẻ từ 7h sáng đến 4h45 chiều chứ hả 😌😌😌,Other
máy xay sinh tố chớ gì .,Other
ăn cái này là nghiệp quật dữ lắm à nghen 😝,Other
per có nên tiếp tục vì đồng nghiệp không chị nhể,Other
đúng rồi . chỉ có thằng ghệ nó trầm cảm thôi,Other
"thôi đi cháu , chưa đủ tuổi thì đừng mê trai , đừng đẩy con nhà người ta vào tù :v",Other
"tốt nhất là đừng crush ai ngoài bản thân ra cả , để khi nhớ thì chỉ cần lấy gương ra nhìn cái là được 😑",Other
thoáng chốc thành đống sắt vụn,Other
vậy thấy đứa nào thân thân với mình là mình block nó lại à ?? .-.,Other
ai sai người ấy chịu . đường là để đi nhà là để bán hàng . việc ai lấy làm đừng bận tâm,Other
t chốg mắt lên xem chúg mày mặn nồg đến bao giờ 🙃,Other
thì cứ cho nó đỗ xong bác gọi phường xuống giải quyết cho nó cẩu đi là xong :)),Other
nhưng quan trọng phải có cách xử lý nước thải của người dân không được đổ ra sông nữa chứ không thì cũng vứt,Other
"không biết sao chứ tao đọc bình luận thấy toàn bình luận bảo là chữ này là do người lớn viết ra , rút cuộc là sao ?",Other
ngã xuống thì lại bảo là tự tử do mâu thẫn với chủ,Other
tôi nghĩ nên tăng tiền phạt lên,Other
còn đỡ hơn bữa ăn sáng nay của tao nhiều .,Other
bếp dầu một thời để nhớ,Other
vào sớm chút mới về được,Other
đọc bình luận của thằng đó không thiếu chữ nào 😂😂,Other
và rồi xung quanh thắc măc rằng mày đã không còn là con gái từ khi nào,Other
chửi nữa đi anh ơi :)),Other
"đã làm thì làm cho lố vào , không thì khép nép lại",Other
"học không phải vì bằng cấp , học để lấy kiến thức .",Other
tiểu học thì sổ đầu bài đâu ra vại mấy bác,Other
tao đi trợ giảng học sinh cũng dạy thầy cô nói chuyện ngoài múa quạt cmnl,Other
cũng không có gì đặc sắc lắm . vì em còn mặc cả áo khoác chống cả tuyết lên cơ,Other
mình đang bận việc mà có đứa nhây vậy là có đứa toè mỏ 😚,Other
không biết là sống ngoài đó rồi đi ị như thế nào 🤔,Other
chắc chỉ có nhật mới vậy ở vn thì tôi không quan tâm ông mua bán ra sao được giá tao mua bán,Other
"ngày hôm ấy , buổi học cuối ... tao bị 2 thg bạn rủ cúp học chơi net :))",Other
vàng chắng bây giờ thành chắng tay ! em bình phước đây ! em hiểu cái này hơn các bác nhiều đó !,Other
hôm nay ol đến đây thôi dume 😑,Other
per xong có cưới nhau không 😂😋,Other
cố gắng tinh thần sẽ làm lại được,Other
một lần chơi lớn để xem anh em có trầm trồ :3,Other
tối nay tập mai triển ??,Other
chủ em này không phải người nữa rồi,Other
này ai chả muốn haiz,Other
"per đấy , có người đưa ra quyết định đúng lúc thì các em đỡ khổ còn gì",Other
:))) ai hỏi mày :vv,Other
thằng nào dám đưa 9 / 10 số tiền nó có trong tay,Other
lâu lắm mình thấy lại nó,Other
lead đời mới chê lead đời cũ là : “ xe mày vứt đi được rồi đấy ” 🤣🤣🤣🤣🤣,Other
nên phát huy,Other
chỉ thấy phối nhạc hay thôi chứ lời tao cảm thấy nghe không có nghĩa lí gì luôn 😐,Other
"tính tao tao biết , chẳng có chuyện gì có thể làm tao phát điên cả",Other
thông minh mấy yêu vào cũng ngu,Other
con rắn thật nó lại tưởng đồng loại nó chui mọi người vào ở luôn,Other
thế là đầu khấc mất vợ tương lai,Other
góc chụp đẹp và ánh sáng tốt,Other
8h sáng sợ nó ngủ còn chưa dậy á,Other
thằng con đã thấy được sự sợ hãi trong mắt bố nó rồi,Other
"nên chọn thằng không học bổng , vì thằng đó giàu hơn",Other
bài học ý thức mất rất nhiều thời gian và phải cần có biện pháp mạnh .,Other
"tao thấy không có người yêu vui mà , 5 năm rồi không yêuc",Other
tao vẫn nấu hôm trời mất điện,Other
cảm thấy nhột đít,Other
may thằng đó không nghe lời vợ,Other
sao tao lại cười khi mà mẹ thằng này sắp nát mông đến nơi nhỉ 🙂,Other
có tiền thì có vị ngọt và không có tiền thì đắng và cay thế thôi,Other
nóng cỡ nào nhĩ,Other
thanh niên phượt rách dép =))),Other
"thuyết âm mưu . nó đang muốn nhờ vả đấy , không nhờ được thì nó vả",Other
thằng này đi sing học luật hay sao mà viết hay quá vậy ?,Other
"ngta có câu nhất cự li nhì tốc độ , mày phải ghi xát dô , ghi nhanh nhanh nữa ,...",Other
người anh em thiện lành nhận bao tiền để viết bài này ?,Other
thế mày thích hiền lành dài dài rồi bùng phát hay mày thích ngày đéo nào nó cũng nổi điên :)),Other
yêuc nhau một cách tự do . tôn trọng sư riêng tư của nhau,Other
"đúng luật thị trường cung - cầu thôi . ai cấm các bác ra phố gửi xe , hoặc đi taxi đến . chui vào viện làm gì ?",Other
ko nên vì tất cả do người lớn sắp đặt cả không nên cho lớp trẻ mất newnf móng,Other
con gái không phải là người tham tiền tham trai đẹp tham này nọ đâu nhé ... chẳng qua họ cần tìm chỗ dựa thôi .,Other
nằm võng đung đưa cho muỗi khỏi đốt,Other
per khi bạn đang feed mạng nhưng chị bạn lại bật hongkong1 :))))))),Other
khi nào ổng nói được tiếng việt theo giọng của người miền tây thì tôi xin lạy,Other
"đó là kiểu người thích cuộc sống về đêm và ghét sự thay đổi , về mọi thứ !",Other
điên lò nấu dầu,Other
cuộc chiến đấu vẫn còn tiếp diễn,Other
cái bài hát dẫn đến mối tình đầu tiên,Other
đắng lắm .. mà qua rồi nên bỏ đi .. khẩu nghiệp nữa,Other
nách kẹp cái gì ấy nhỉ các bác,Other
per mẹ mà có cái này thì ngồi nói chuyện cả ngày,Other
dậy đi học đi con ơi,Other
"theo bác thế nào là tránh cửa ra 1 tý , cả cái vỉa hè nhắn tin kia bạn còn muốn tránh đi đâu",Other
mình đã học được cách giả vờ như không nghe tiếng gì .. còn bị chửi dài dài cho tới khi trưởng thành hãy tập quen với điều ấy :)),Other
may không đi,Other
nó không cắn đâu đó là chó thường còn chủng tộc ngáo này thì không biết,Other
có những người chỉ cảm thấy mình tồn tại khi được chửi bới .,Other
lớn quá rồi chẳng được mẹ mắng chửi nữa :3,Other
có 5tr thôi à,Other
hãy cứ hết mình đi ... chứ chả bít được ngày mai ra sao cả )),Other
đỗ chỗ này hay bị mưa gạch lắm,Other
vẫn hay mà,Other
"bác khoe cái gì , em đây đi xe lăn nhé , xe đạp chỉ là ước mơ của em thôi",Other
môi trường tù chưa cho nó cái nó cần rồi,Other
"ai chả có lúc nóng , quan trọng sự kiềm chế của bạn như nào thôi",Other
lỗi tại thằng bán hàng,Other
cúi xuống húp liền còn chờ gì nữa thằng chụp ảnh 😃,Other
các bạn làm bố đi rồi sẽ hiểu được bố mẹ mình yêu mình nhiều thế nào,Other
con này nó nhờ thằng kia dọn mạng nhện ý mà có gì đâu,Other
vậy thì nói ngoài đời đi,Other
tới luôn em ơi .,Other
bề ngoài tỏ ra cứng cỏi nhưng bên trong con chó đó luôn khao khát tình thương từ con người,Other
"tao không khóc , tao nghĩ ... tao sau này có một phút nào đó muốn quay lại hay không ...",Other
để cưa cái bàn chớ làm gì,Other
nhọc lòng :(((,Sadness
bị từ chối rồi,Sadness
t nghe thấy nó nói gì tao chết liền,Sadness
chẳng bằng bố tao 13 năm tự nhiên hỏi bố biết tên con là gì không thì chần chừ một lúc rồi phun ra tên chị tao,Sadness
"hút điếu cần xong nhìn nó ăn mà muốn phá cái tủ lạnh vô dụng của nhà mình quá , đéo đủ sức đựng thịt bò toàn rau .",Sadness
đúng là chân thật luôn luôn tổn thương !,Sadness
tội cho cô gái ;((,Sadness
"per đúng rồi , không muốn xa cách đâu 😞",Sadness
"công nhận năm nay tiến triển hơn , đợi 2 bà chị đi hẹn hò về còn có scl mà ăn ké :v",Sadness
có ai như tao không đọc đề thì quen nhưng lại quên phương pháp giải . chắc mất gốc rồi :((,Sadness
chỉ thấy dễ thương và xinh khi crush thôi khi hết crush thì có cười nấy cười nữa cũng không có cảm giác,Sadness
xem xong hết cái video mà cảm thấy buồn cho cái xã hội bây giờ,Sadness
cay đắng đến cùng cực và hạnh phúc đến tột đỉnh . chỉ là mình có quyền lựa chọn nó hay không thôi,Sadness
làm chó khổ lắm chứ bộ :((,Sadness
tao đã rất muốn làm bạn tốt anh em tri kỉ với tụi hắn nhưng không ai muốn làm bạn với tao - _ -,Sadness
"ko nói nhiều chỉ ủng hộ anh per vì thấy thái độ trước tòa là hiểu anh per hoàn toàn chân chất , không có thủ đoạn gì hết",Sadness
"động lực là tình yêu . vì sau khi chia tay , tôi đã thấy mình vô dụng trong một thời gian dài .",Sadness
lấy chồng như 1 canh bạc . ko hoa . ko lời chúc không gì hết . pải chăng số ta chỉ được vậy . cô đơn quen rồi,Sadness
"trước tao cũng tin vào tình yêu chân thành lắm , niềm tin chết rồi",Sadness
kím cớ nói chuyện chỉ để biết người đó làm gì đang như nào . có vui hay buồn . rồi lại thôi,Sadness
chồng tương lai lại nuôi vợ thằng khác,Sadness
"mong ai đó sẽ không nghe được bài hát này . xin lỗi , ngàn lần xin lỗi 😢",Sadness
"bố bạn ý chửi nhẹ đấy , bố mình chửi là chỉ mong đầu thai vào nhà khác 😬",Sadness
nhìn là yêu roi muốn nuôi quá trời mà sợ không chăm được em 😢,Sadness
ba mẹ tao chửi tao tao chỉ biết câm họng và bưng tô cơm ra chỗ khác vừa ngồi ăn vừa khóc một mình cho dù biết răng mình k có lỗi 😭😭 !?,Sadness
nó cười với tất cả mng trừ tao 🙂,Sadness
xem video cu ̃ người cho ́ người hê ́ tao ca ̉ mă ̣ tao,Sadness
"cải tạo được , có tái tạo được 100 % nguyên trạng rồi sao ? giá trị lịch sử văn hoá gần nghìn năm đã mất đi rồi :((",Sadness
liên quan à . cr mày đéo thương mày đâu . nó có crush mới rồi . 🙂,Sadness
"t đã hối hận vì nói ra , để rồi bao giờ tao với cô ấy chẳng còn thể nói chuyện như trước nữa",Sadness
pháp năm nay nhiều biến quá :((,Sadness
định tag anh vào nhưng chợt nhớ ra làm gì có anh nào 😑,Sadness
moá . tao muốn chết quách cho rồi,Sadness
tội nghiệp các bé đạp xe đi học,Sadness
:((( tôi vẫn chưa sẵn sàng để đi học mà,Sadness
ngô ̀ i đo ̣ c bình luận chu ́ người no ́ tag người yêu va ̀ o ma ̀ sô ́ người mu ̃ i la ̣ i cay =)),Sadness
chúng mày có thể bỏ ra 30s thả tim vào avatar coi như lì xì muộn cho tao được không ? chưa bao giờ được 30 tim buồn v . lol 😭😭😭😭,Sadness
"đôi khi cũng muốn dỗi lắm , nhưng nghĩ lại đéo có người yêu mà dỗi",Sadness
"thanh xuân của tớ gặp cậu rồi , 4 năm rồi , chỉ có điều vẫn là 2 đường thẳng song song",Sadness
chời ơi mới chụp răng 2 bữa trước về không ngủ được tới nay luôn,Sadness
1 câu chuyện buồn :)) khuôn mặt biểu cảm :((,Sadness
per ơ tao còn chưa kịp đến bắt tay mà :((,Sadness
ai bảo con trai yêu không nặng tình ? :'(,Sadness
tuổi thơ tôi toàn gặp những thằng mất dậy và toàn đánh nhau với chúng . tuổi thơ nợ tôi quá nhiều,Sadness
nếu tao được gặp ba tôi 1 lần nửa thì tao sẻ nói con thw ba nhìu lắm . nhưng lời nói này chẳng pao giờ được nói nửa vì tao và ông ấy đã xa nhau mãi mãi,Sadness
vận may s cứ xua đuổi mình hoài chứ có bao giờ tự tìm đến đâu ? đen thôi chứ đỏ quên điii nha . đời thường giết chết kẻ mộng mer như mình .,Sadness
"hắt xì mệt quá , muốn bắn , muốn làm việc :(",Sadness
huhu xem mà muốn khóc vãi,Sadness
rồi mấy đứa chân không được dài như tao phóng qua kiểu gì :),Sadness
coi phim này mà ứa nước mắt 😢,Sadness
tiếc là chưa thấy cậu cười ngoài đời bao giờ,Sadness
mùa thu năm ấy cta đã gặp nhau ?,Sadness
và mày chợt nhận ra người yêu củ của mày có người yêu mới huhu,Sadness
"chiến tranh có gì vui đâu nhỉ , chỉ gây đâu thương",Sadness
xem hết mới biết cái video nó không phải video hài thấy buồn buồn 😪,Sadness
"gập đúng người mà mình muốn thương , muốn yêu , muốn chăm sóc . nhưng thật tiếc khi trong tay vẫn chưa có gì",Sadness
"thề , coi rồi mà xem lại vẫn buồn",Sadness
còn gì đau xót hơn 🙂🙂,Sadness
nếu không gãy đó la 1 bài quyền đẹp rồi :((,Sadness
đi làm quán nước mà mỗi cái bịch nay long đựng ống hút nó cũng xé nhỏ ra rồi để bay tứ tung đi quét đã muốn lòi lồn,Sadness
chưa kịp đặt chân đến chiêm ngưỡng nó ...,Sadness
an ủi cũng ghen à :(,Sadness
"đặt mình vào vị trí của nhau , biết lo lắng suy nghĩ san sẻ cho nhau vậy là đủ rồi . có quá khó không ?",Sadness
bằng tuổi em các bạn đang ôn thi mà em phân vân không biết chọn trường nào :((,Sadness
cay đắng vãi 😌,Sadness
xem đi xem lại mà khóc sướt mướt 😭😭😭,Sadness
sao mình lại không xem được vậy admin 😭,Sadness
đau lòng qá huhu,Sadness
23 năm rồi tao còn chưa được đi chơi với bồ trung thu lần nào cả :(,Sadness
"ăn 1 miếng bò mà giết thêm đàn kiến . chưa biết ngon thế nào nhưng một đàn kiến về cõi vĩnh hằng , tội cho đàn kiến .",Sadness
"tao buồn quá , tao đang khóc !!!",Sadness
"t xin nhắc lại một lần nữa , đây là một câu chuyện buồn nhé",Sadness
đến giờ tao vẫn chưa biết biển là cái gì ad ạ .,Sadness
ai đó hãy tát trà sữa vào mặt tao đi 😭😭,Sadness
chờ có người giận mà không được,Sadness
âu cũng là kiếp người . tại sao ông trời lại đày đoạ con người ta đến như vậy,Sadness
và đó đéo phải là tao =))),Sadness
đừng bỏ tao ra đi mà,Sadness
đây là lần cuối cùng các bạn nhìn thấy anh ấy :d,Sadness
"hồi xưa đi học mình ngồi gần lớp trưởng , tên này được cái rất ga lăng với bạn gái trừ mình .. huhu ..",Sadness
nỗi đau ấy ai thấy giúp tôi,Sadness
cái cảm giác nhìn người thân mình khổ còn mình lại chẳng làm được gì giúp .,Sadness
"mọa , mình nhà thanh hóa mà đéo biết gì luôn @@ :((((",Sadness
"nước mắt tự trào ra , thật sự rất cảm động 😢",Sadness
hàng nông sản việt nam là thứ bị cạnh tranh và phá hoại nhìu nhất 😣,Sadness
buồn hơn thế là đối với 1 đứa con gái năm lần bảy lượt chủ động ib họ nhưng vẫn bị xem thường ... xem mà đéo rep ... hết thương là vậy ... 😞😞😞,Sadness
per giảm tốc kìa haha,Surprise
diệu kì quá,Surprise
"phim giật gân , hấp dẫn đấy",Surprise
gía rẻ quá,Surprise
ho mạnh có thể làm gãy xương sườn cơ à ??,Surprise
phản đòn hay đấy,Surprise
ý tưởng thông minh đó con,Surprise
mày ăn cái gì mà khôn vaiz thế,Surprise
"nhiệt điện à bác , sao em không thấy nhỉ",Surprise
wow tuổi trẻ tài cao vkl =))),Surprise
ông này nội công thâm hậu nhảy lên gẫy cả cây thế là té đít dầm xuống đất . tại hạ bái phục,Surprise
thế đéo nào cái hộp bé tý lại đựng được ba cái mũ nhỉ,Surprise
bài này hay quá,Surprise
chất liệu đỉnh quá,Surprise
tr má cái tướng ổng nằm,Surprise
per ác quỷ ma sơ hay dã man ý,Surprise
sản phẩm nhìn lạ quá ta,Surprise
con mèo mặt diễn ghê thật,Surprise
ủa sao vụ này vong đòi có 5 triệu thôi á . không bị tù tội gì sao ?,Surprise
ủa mặt gì mắc cười vậy,Surprise
"moá ơi , lợn mặt trăng 😂😂😂",Surprise
thấy kết luận án phí đợt trước là 8 tỷ mà sao giờ đã thành 81 tỷ rồi ???,Surprise
về nhanh thế,Surprise
sao nhìn mặt ông cụ giống tokuda thế,Surprise
200 triệu mà đủ sao,Surprise
"hôm qua còn không có lông chân , hôm nay mọc lẹ thế =)))",Surprise
ông luôn biết trước thời đại . 66 năm trước . ông biết mình sẽ được lập kỷ lục thế giới về bộ móng tay này . ông giỏi thật,Surprise
phải giăt ba tay luôn hả,Surprise
điệt cao thế lên tầm này mà chưa chết nhỉ,Surprise
ko hiểu sao lương cao thế nhỉ,Surprise
